Model,BACC,F1,F1 (Class 0),F1 (Class 1),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1)
LLaMA-2-7B,0.2928,0.5626,0.7751,0.0509,-0.0014,0.5442,0.6116,0.7129,0.8491,0.1980,0.0292
LLaMA-3-8B,0.3637,0.6210,0.8036,0.2656,0.1482,0.6016,0.6421,0.7739,0.8357,0.2765,0.2555
Mistral-7B,0.3335,0.5928,0.7965,0.1356,0.0082,0.5469,0.6605,0.7144,0.8998,0.2072,0.1007
OpenChat-7B,0.3338,0.5970,0.8338,0.0086,0.0080,0.5496,0.7129,0.7164,0.9971,0.2143,0.0044
Zephyr-7B,0.2638,0.5367,0.7296,0.0883,0.0174,0.5584,0.5362,0.7219,0.7373,0.2418,0.0540
BioMistral-7B,0.0631,0.0551,0.0332,0.1769,0.0012,0.5567,0.0426,0.7344,0.0170,0.1818,0.1723
MedAlpaca-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meditron-7B,0.1567,0.4067,0.5680,0.0058,0.0073,0.5617,0.3341,0.7245,0.4671,0.2500,0.0029
Panacea-7B,0.4072,0.6188,0.7840,0.3324,0.1825,0.6144,0.6318,0.7948,0.7735,0.2642,0.4482
Panacea-Base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
