Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1),Precision (Class 2),Recall (Class 2)
LLaMA-2-7B,0.2983,0.5038,0.0404,0.6424,0.2141,0.0651,0.0121,0.5665,0.4656,0.7243,0.5771,0.1743,0.2774,0.1683,0.0404
LLaMA-3-8B,0.4846,0.5920,0.4442,0.6949,0.3226,0.3548,0.2171,0.6985,0.5380,0.8691,0.5789,0.2579,0.4307,0.2954,0.4442
Mistral-7B,0.3365,0.5392,0.0713,0.6851,0.2331,0.0796,0.0250,0.5648,0.5209,0.7290,0.6462,0.1940,0.2920,0.0901,0.0713
OpenChat-7B,0.3387,0.5995,0.0190,0.8338,0.0000,0.0368,0.0133,0.5738,0.7142,0.7164,0.9971,0.0000,0.0000,0.5714,0.0190
Zephyr-7B,0.2716,0.5337,0.0570,0.7080,0.1073,0.0836,0.0304,0.5772,0.5090,0.7310,0.6863,0.2149,0.0715,0.1569,0.0570
BioMistral-7B,0.0763,0.0379,0.2114,0.0256,0.0085,0.1664,0.0057,0.6034,0.0331,0.7826,0.0130,0.1667,0.0044,0.1371,0.2114
MedAlpaca-7B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Meditron-7B,0.1567,0.4069,0.0000,0.5682,0.0058,0.0000,0.0079,0.6950,0.3341,0.7253,0.4671,1.0000,0.0029,0.0000,0.0000
Panacea,0.4687,0.5991,0.5629,0.7420,0.2067,0.2994,0.1968,0.6609,0.5708,0.8303,0.6708,0.2582,0.1723,0.2040,0.5629
Panacea-Base,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
