Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1),Precision (Class 2),Recall (Class 2)
LLaMA-2-7B,0.3561,0.4224,0.5532,0.5290,0.1179,0.2378,0.0290,0.5567,0.3791,0.7291,0.4150,0.1435,0.1001,0.1514,0.5532
LLaMA-3-8B,0.4718,0.5737,0.6511,0.6928,0.1654,0.4583,0.1962,0.6556,0.5300,0.8289,0.5951,0.1617,0.1692,0.3536,0.6511
Mistral-7B,0.3285,0.5770,0.0106,0.8155,0.0032,0.0200,-0.0052,0.6280,0.6867,0.7017,0.9734,0.6667,0.0016,0.1667,0.0106
OpenChat-7B,0.3472,0.5922,0.0660,0.8203,0.0016,0.1150,0.0312,0.5647,0.6945,0.7081,0.9747,0.0556,0.0008,0.4493,0.0660
Zephyr-7B,0.3451,0.3924,0.6053,0.4860,0.1056,0.2558,0.0566,0.5946,0.3389,0.7733,0.3544,0.1759,0.0755,0.1622,0.6053
BioMistral-7B,0.0235,0.0371,0.0511,0.0375,0.0000,0.0847,0.0014,0.4703,0.0201,0.6235,0.0193,0.0000,0.0000,0.2487,0.0511
MedAlpaca-7B,0.0002,0.0008,0.0000,0.0011,0.0000,0.0000,0.0001,0.7038,0.0004,1.0000,0.0006,0.0000,0.0000,0.0000,0.0000
Meditron-7B,0.2129,0.4706,0.0032,0.6671,0.0016,0.0062,-0.0010,0.5423,0.4473,0.7031,0.6347,0.2000,0.0008,0.1071,0.0032
Panacea,0.5354,0.6308,0.7915,0.7851,0.1540,0.4113,0.2989,0.7067,0.6096,0.9023,0.6948,0.2151,0.1199,0.2778,0.7915
Panacea-Base,0.0002,0.0008,0.0000,0.0011,0.0000,0.0000,0.0001,0.7038,0.0004,1.0000,0.0006,0.0000,0.0000,0.0000,0.0000
