Model,BLEU,ROUGE,Clinical relevance
LLaMA-2-7B,0.0729,0.2367,0.5764
Mistral-7B,0.1615,0.3657,0.6022
Zephyr-7B,0.1386,0.3273,0.5691
BioMistral-7B,0.1779,0.3758,0.4696
MedAlpaca-7B,0.0856,0.2728,0.4309
Meditron-7B,0.0883,0.2399,0.1418
Panacea-Base,0.0569,0.1747,0.5746
Panacea,0.2802,0.4910,0.7459
