Model,BLEU,ROUGE,Clinical relevance
LLaMA-2-7B,0.0567,0.2260,0.4635
Mistral-7B,0.1013,0.2783,0.3577
Zephyr-7B,0.0772,0.2354,0.3285
BioMistral-7B,0.0819,0.2523,0.2099
MedAlpaca-7B,0.0362,0.1732,0.1880
Meditron-7B,0.0159,0.1045,0.0456
Panacea-Base,0.0397,0.1588,0.3358
Panacea,0.2531,0.4658,0.6168
