Model,ROUGE-1,ROUGE-2,ROUGE
LLaMA-2-7B,0.1202,0.0260,0.0757
LLaMA-3-8B,0.2082,0.0460,0.1270
Mistral-7B,0.2310,0.0460,0.1343
OpenChat-7B,0.2623,0.0517,0.1489
Zephyr-7B,0.2050,0.0338,0.1214
BioMistral-7B,0.2221,0.0323,0.1290
MedAlpaca-7B,0.0502,0.0030,0.0384
Meditron-7B,0.1221,0.0108,0.0780
Panacea-Base,0.1774,0.0275,0.1036
Panacea-7B,0.2106,0.0375,0.1209
