Model,BLEU,ROUGE-L,Clinical Accuracy
LLaMA-2-7B,0.0572,0.2009,0.2912
Mistral-7B,0.1251,0.3169,0.2894
Zephyr-7B,0.1036,0.2723,0.2436
BioMistral-7B,0.1194,0.3100,0.2546
MedAlpaca-7B,0.0555,0.2155,0.1136
Meditron-7B,0.0284,0.1223,0.0440
Panacea-Base,0.0615,0.1940,0.2729
Panacea,0.2589,0.4679,0.4817
