Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1),Precision (Class 2),Recall (Class 2)
LLaMA-2-7B,0.3126,0.2419,0.6500,0.2707,0.1353,0.2241,0.0010,0.5274,0.2211,0.6872,0.1686,0.1566,0.1191,0.1354,0.6500
LLaMA-3-8B,0.4488,0.5589,0.5947,0.6747,0.1710,0.4347,0.1765,0.6528,0.5072,0.8270,0.5698,0.1614,0.1819,0.3425,0.5947
Mistral-7B,0.2650,0.3428,0.4021,0.4095,0.1352,0.2498,0.0452,0.6036,0.2655,0.7860,0.2769,0.1620,0.1160,0.1811,0.4021
OpenChat-7B,0.3902,0.5012,0.4234,0.5867,0.2210,0.4008,0.1373,0.6785,0.4191,0.8535,0.4470,0.1748,0.3002,0.3805,0.4234
Zephyr-7B,0.3308,0.4165,0.5606,0.5081,0.1001,0.3308,0.1093,0.6752,0.3349,0.8806,0.3571,0.1516,0.0747,0.2346,0.5606
BioMistral-7B,0.1440,0.1864,0.2223,0.2057,0.1186,0.1701,0.0053,0.5543,0.1278,0.7207,0.1200,0.1747,0.0898,0.1377,0.2223
MedAlpaca-7B,0.0008,0.0008,0.0021,0.0004,0.0000,0.0042,-0.0000,0.3772,0.0004,0.5000,0.0002,0.0000,0.0000,0.2000,0.0021
Meditron-7B,0.0196,0.0358,0.0277,0.0375,0.0217,0.0455,-0.0022,0.4869,0.0191,0.6392,0.0193,0.1230,0.0119,0.1275,0.0277
Panacea-Base,0.0406,0.1204,0.0170,0.1586,0.0286,0.0310,0.0023,0.5583,0.0675,0.7277,0.0890,0.1408,0.0159,0.1758,0.0170
Panacea,0.4360,0.5616,0.5500,0.6859,0.1878,0.3711,0.1907,0.6817,0.4997,0.8743,0.5643,0.1822,0.1938,0.2801,0.5500
