Model,ROUGE-1,ROUGE-2,ROUGE
LLaMA-2-7B,0.3922,0.1385,0.2159
LLaMA-3-8B,0.4266,0.1577,0.2317
Mistral-7B,0.4046,0.1452,0.2230
OpenChat-7B,0.3913,0.1519,0.2298
Zephyr-7B,0.3086,0.1009,0.1675
BioMistral-7B,0.3361,0.1022,0.1873
MedAlpaca-7B,0.1454,0.0347,0.0931
Meditron-7B,0.2198,0.0483,0.1177
Panacea-Base,0.2873,0.0838,0.1532
Panacea,0.3233,0.1104,0.1743
