Model,BLEU-4,ROUGE-L,Clinical Accuracy
LLaMA-2-7B,0.0676,0.2209,0.4574
LLaMA-3-8B,0.0991,0.2713,0.5313
Mistral-7B,0.1501,0.3316,0.3868
OpenChat-7B,0.1504,0.3436,0.4767
Zephyr-7B,0.1177,0.2880,0.3097
BioMistral-7B,0.1636,0.3365,0.2054
MedAlpaca-7B,0.0604,0.2136,0.2086
Meditron-7B,0.0346,0.1317,0.1107
GPT-3.5,0.1787,0.3633,0.4462
GPT-4,0.0581,0.2066,0.6741
Claude 3 Haiku,0.0748,0.2444,0.5971
Claude 3 Sonnet,0.0573,0.2251,0.5585
Panacea (Ours),0.3618,0.5633,0.6099
