Model,ROUGE-1,ROUGE-2,ROUGE-L
LLaMA-2-7B,0.3748,0.1395,0.2156
LLaMA-3-8B,0.4244,0.1582,0.2307
Mistral-7B,0.3903,0.1590,0.2297
OpenChat-7B,0.3828,0.1493,0.2241
Zephyr-7B,0.2135,0.1052,0.1342
BioMistral-7B,0.4039,0.1550,0.2374
MedAlpaca-7B,0.1269,0.0358,0.0884
Meditron-7B,0.0269,0.0081,0.0165
GPT-3.5,0.4198,0.1531,0.2337
GPT-4,0.4166,0.1366,0.2092
Claude 3 Haiku,0.4282,0.1607,0.2387
Claude 3 Sonnet,0.4340,0.1570,0.2338
Panacea-Base,0.2544,0.1147,0.1682
Panacea (Ours),0.3813,0.1753,0.2411
