Model,BACC,F1,Recall (Eligible)
LLaMA-2-7B,0.3561,0.4224,0.5532
LLaMA-2-13B,0.4246,0.5150,0.6830
LLaMA-3-8B,0.4718,0.5737,0.6511
Mistral-7B,0.3561,0.5770,0.0106
OpenChat-7B,0.3472,0.5922,0.0660
Zephyr-7B,0.3451,0.3924,0.6053
BioMistral-7B,0.0235,0.0371,0.0511
MedAlpaca-7B,0.0002,0.0008,0.0001
Meditron-7B,0.2129,0.4706,0.0032
GPT-3.5,0.3786,0.4698,0.4000
GPT-4,0.4289,0.1644,0.4298
Claude 3 Haiku,0.4190,0.5607,0.5223
Claude 3 Sonnet,0.4229,0.2473,0.5309
Panacea (Ours),0.5354,0.6308,0.7915
