Model,ROUGE-1,ROUGE-2,ROUGE-L
LLaMA-2-7B,0.1120,0.0247,0.0687
LLaMA-3-8B,0.1512,0.0331,0.0993
Mistral-7B,0.2364,0.0475,0.1441
OpenChat-7B,0.2652,0.0520,0.1511
Zephyr-7B,0.2190,0.0372,0.1328
BioMistral-7B,0.2311,0.0450,0.1426
MedAlpaca-7B,0.0376,0.0020,0.0301
Meditron-7B,0.0364,0.0025,0.0274
GPT-3.5,0.2443,0.0522,0.1377
GPT-4,0.2033,0.0448,0.1123
Claude 3 Haiku,0.2620,0.0517,0.1429
Claude 3 Sonnet,0.2554,0.0505,0.1406
Panacea (Ours),0.2766,0.0580,0.1718
