Model,ROUGE-1,ROUGE-2,ROUGE
LLaMA-2-7B,0.3877,0.1369,0.2129
LLaMA-3-8B,0.4255,0.1569,0.2305
Mistral-7B,0.4011,0.1433,0.2206
OpenChat-7B,0.3895,0.1520,0.2294
Zephyr-7B,0.3095,0.1015,0.1697
BioMistral-7B,0.3363,0.1023,0.1860
MedAlpaca-7B,0.1470,0.0355,0.0939
Meditron-7B,0.2188,0.0497,0.1187
Panacea-Base,0.2899,0.0866,0.1560
Panacea,0.3323,0.1167,0.1809
