Model,ROUGE-1,ROUGE-2,ROUGE
LLaMA-2-7B,0.1181,0.0242,0.0745
LLaMA-3-8B,0.2105,0.0448,0.1279
Mistral-7B,0.2334,0.0446,0.1364
OpenChat-7B,0.2661,0.0533,0.1517
Zephyr-7B,0.2147,0.0370,0.1288
BioMistral-7B,0.2225,0.0358,0.1309
MedAlpaca-7B,0.0536,0.0035,0.0400
Meditron-7B,0.1252,0.0120,0.0796
Panacea-Base,0.1817,0.0294,0.1050
Panacea-7B,0.2092,0.0371,0.1204
