Model,BLEU,ROUGE-L,Clinical relevance
LLaMA-2-7B,0.0598,0.2103,0.3095
Mistral-7B,0.1249,0.3133,0.2784
Zephyr-7B,0.1001,0.2679,0.2198
BioMistral-7B,0.1161,0.3042,0.2436
MedAlpaca-7B,0.0533,0.2069,0.1062
Meditron-7B,0.0268,0.1192,0.0476
Panacea-Base,0.0538,0.1796,0.2930
Panacea,0.2438,0.4474,0.5147
